symbol,token,strike,expiry,option_type,lot_size
NIFTY 50,256265,0.0,2025-10-05,EQ,0
NIFTY25O0722850CE,9779458,22850.0,2025-10-07,CE,75
NIFTY25O0722850PE,9779714,22850.0,2025-10-07,PE,75
NIFTY25O0722900CE,9779970,22900.0,2025-10-07,CE,75
NIFTY25O0722900PE,9780226,22900.0,2025-10-07,PE,75
NIFTY25O0722950CE,9782018,22950.0,2025-10-07,CE,75
NIFTY25O0722950PE,9782274,22950.0,2025-10-07,PE,75
NIFTY25O0723000CE,9782530,23000.0,2025-10-07,CE,75
NIFTY25O0723000PE,9782786,23000.0,2025-10-07,PE,75
NIFTY25O0723050CE,9783042,23050.0,2025-10-07,CE,75
NIFTY25O0723050PE,9783554,23050.0,2025-10-07,PE,75
NIFTY25O0723100CE,9784578,23100.0,2025-10-07,CE,75
NIFTY25O0723100PE,9784834,23100.0,2025-10-07,PE,75
NIFTY25O0723150CE,9785090,23150.0,2025-10-07,CE,75
NIFTY25O0723150PE,9785346,23150.0,2025-10-07,PE,75
NIFTY25O0723200CE,9787138,23200.0,2025-10-07,CE,75
NIFTY25O0723200PE,9787394,23200.0,2025-10-07,PE,75
NIFTY25O0723250CE,9787650,23250.0,2025-10-07,CE,75
NIFTY25O0723250PE,9787906,23250.0,2025-10-07,PE,75
NIFTY25O0723300CE,9788162,23300.0,2025-10-07,CE,75
NIFTY25O0723300PE,9788418,23300.0,2025-10-07,PE,75
NIFTY25O0723350CE,9788674,23350.0,2025-10-07,CE,75
NIFTY25O0723350PE,9788930,23350.0,2025-10-07,PE,75
NIFTY25O0723400CE,9789698,23400.0,2025-10-07,CE,75
NIFTY25O0723400PE,9789954,23400.0,2025-10-07,PE,75
NIFTY25O0723450CE,9790210,23450.0,2025-10-07,CE,75
NIFTY25O0723450PE,9790466,23450.0,2025-10-07,PE,75
NIFTY25O0723500CE,9791234,23500.0,2025-10-07,CE,75
NIFTY25O0723500PE,9791490,23500.0,2025-10-07,PE,75
NIFTY25O0723550CE,9792770,23550.0,2025-10-07,CE,75
NIFTY25O0723550PE,9793026,23550.0,2025-10-07,PE,75
NIFTY25O0723600CE,9794818,23600.0,2025-10-07,CE,75
NIFTY25O0723600PE,9795074,23600.0,2025-10-07,PE,75
NIFTY25O0723650CE,9795842,23650.0,2025-10-07,CE,75
NIFTY25O0723650PE,9796098,23650.0,2025-10-07,PE,75
NIFTY25O0723700CE,9796354,23700.0,2025-10-07,CE,75
NIFTY25O0723700PE,9796610,23700.0,2025-10-07,PE,75
NIFTY25O0723750CE,9796866,23750.0,2025-10-07,CE,75
NIFTY25O0723750PE,9797122,23750.0,2025-10-07,PE,75
NIFTY25O0723800CE,9797890,23800.0,2025-10-07,CE,75
NIFTY25O0723800PE,9798146,23800.0,2025-10-07,PE,75
NIFTY25O0723850CE,9798402,23850.0,2025-10-07,CE,75
NIFTY25O0723850PE,9798658,23850.0,2025-10-07,PE,75
NIFTY25O0723900CE,9799426,23900.0,2025-10-07,CE,75
NIFTY25O0723900PE,9799682,23900.0,2025-10-07,PE,75
NIFTY25O0723950CE,9799938,23950.0,2025-10-07,CE,75
NIFTY25O0723950PE,9800194,23950.0,2025-10-07,PE,75
NIFTY25O0724000CE,9800450,24000.0,2025-10-07,CE,75
NIFTY25O0724000PE,9800706,24000.0,2025-10-07,PE,75
NIFTY25O0724050CE,9800962,24050.0,2025-10-07,CE,75
NIFTY25O0724050PE,9801218,24050.0,2025-10-07,PE,75
NIFTY25O0724100CE,9801474,24100.0,2025-10-07,CE,75
NIFTY25O0724100PE,9801730,24100.0,2025-10-07,PE,75
NIFTY25O0724150CE,9806594,24150.0,2025-10-07,CE,75
NIFTY25O0724150PE,9806850,24150.0,2025-10-07,PE,75
NIFTY25O0724200CE,9807106,24200.0,2025-10-07,CE,75
NIFTY25O0724200PE,9809410,24200.0,2025-10-07,PE,75
NIFTY25O0724250CE,9809666,24250.0,2025-10-07,CE,75
NIFTY25O0724250PE,9809922,24250.0,2025-10-07,PE,75
NIFTY25O0724300CE,9810178,24300.0,2025-10-07,CE,75
NIFTY25O0724300PE,9810434,24300.0,2025-10-07,PE,75
NIFTY25O0724350CE,9810690,24350.0,2025-10-07,CE,75
NIFTY25O0724350PE,9810946,24350.0,2025-10-07,PE,75
NIFTY25O0724400CE,9811202,24400.0,2025-10-07,CE,75
NIFTY25O0724400PE,9811458,24400.0,2025-10-07,PE,75
NIFTY25O0724450CE,9815298,24450.0,2025-10-07,CE,75
NIFTY25O0724450PE,9815554,24450.0,2025-10-07,PE,75
NIFTY25O0724500CE,9816834,24500.0,2025-10-07,CE,75
NIFTY25O0724500PE,9817090,24500.0,2025-10-07,PE,75
NIFTY25O0724550CE,9817858,24550.0,2025-10-07,CE,75
NIFTY25O0724550PE,9818114,24550.0,2025-10-07,PE,75
NIFTY25O0724600CE,9819394,24600.0,2025-10-07,CE,75
NIFTY25O0724600PE,9819650,24600.0,2025-10-07,PE,75
NIFTY25O0724650CE,9819906,24650.0,2025-10-07,CE,75
NIFTY25O0724650PE,9820162,24650.0,2025-10-07,PE,75
NIFTY25O0724700CE,9820418,24700.0,2025-10-07,CE,75
NIFTY25O0724700PE,9820674,24700.0,2025-10-07,PE,75
NIFTY25O0724750CE,9821954,24750.0,2025-10-07,CE,75
NIFTY25O0724750PE,9822210,24750.0,2025-10-07,PE,75
NIFTY25O0724800CE,9822466,24800.0,2025-10-07,CE,75
NIFTY25O0724800PE,9822722,24800.0,2025-10-07,PE,75
NIFTY25O0724850CE,9822978,24850.0,2025-10-07,CE,75
NIFTY25O0724850PE,9823234,24850.0,2025-10-07,PE,75
