datetime,nifty_open,nifty_high,nifty_low,nifty_close,call_open,call_high,call_low,call_close,put_open,put_high,put_low,put_close
2024-10-01 09:15:00,20300.00,20320.00,20295.00,20310.00,185.00,190.00,180.00,188.00,175.00,180.00,170.00,178.00
2024-10-01 09:16:00,20310.00,20325.00,20305.00,20320.00,188.00,195.00,185.00,192.00,178.00,183.00,173.00,180.00
2024-10-01 09:17:00,20320.00,20335.00,20315.00,20330.00,192.00,198.00,188.00,196.00,180.00,185.00,175.00,182.00
2024-10-01 09:18:00,20330.00,20340.00,20325.00,20335.00,196.00,202.00,192.00,200.00,182.00,187.00,177.00,184.00
2024-10-01 09:19:00,20335.00,20345.00,20330.00,20340.00,200.00,206.00,196.00,204.00,184.00,189.00,179.00,186.00
2024-10-01 09:20:00,20340.00,20350.00,20335.00,20345.00,204.00,210.00,200.00,208.00,186.00,191.00,181.00,188.00
2024-10-01 09:21:00,20345.00,20355.00,20340.00,20350.00,208.00,214.00,204.00,212.00,188.00,193.00,183.00,190.00
2024-10-01 09:22:00,20350.00,20360.00,20345.00,20355.00,212.00,218.00,208.00,216.00,190.00,195.00,185.00,192.00
2024-10-01 09:23:00,20355.00,20365.00,20350.00,20360.00,216.00,222.00,212.00,220.00,192.00,197.00,187.00,194.00
2024-10-01 09:24:00,20360.00,20370.00,20355.00,20365.00,220.00,226.00,216.00,224.00,194.00,199.00,189.00,196.00
2024-10-01 09:25:00,20365.00,20375.00,20360.00,20370.00,224.00,230.00,220.00,228.00,196.00,201.00,191.00,198.00
2024-10-01 09:26:00,20370.00,20380.00,20365.00,20375.00,228.00,234.00,224.00,232.00,198.00,203.00,193.00,200.00
2024-10-01 09:27:00,20375.00,20385.00,20370.00,20380.00,232.00,238.00,228.00,236.00,200.00,205.00,195.00,202.00
2024-10-01 09:28:00,20380.00,20390.00,20375.00,20385.00,236.00,242.00,232.00,240.00,202.00,207.00,197.00,204.00
2024-10-01 09:29:00,20385.00,20395.00,20380.00,20390.00,240.00,246.00,236.00,244.00,204.00,209.00,199.00,206.00
2024-10-01 09:30:00,20390.00,20400.00,20385.00,20395.00,244.00,250.00,240.00,248.00,206.00,211.00,201.00,208.00
